SMD_pid,SMD_origin,SMD_region,SMD_site,SMD_population
GD1P1-9,int,CGD,GD1,GD1P1
GD1P1-10,int,CGD,GD1,GD1P1
GD1P2-1,int,CGD,GD1,GD1P2
GD1P2-2,int,CGD,GD1,GD1P2
GD1P2-3,int,CGD,GD1,GD1P2
GD1P2-4,int,CGD,GD1,GD1P2
GD1P2-5,int,CGD,GD1,GD1P2
GD1P2-6,int,CGD,GD1,GD1P2
GD1P2-7,int,CGD,GD1,GD1P2
GD1P2-8,int,CGD,GD1,GD1P2
GD1P2-9,int,CGD,GD1,GD1P2
GD1P2-10,int,CGD,GD1,GD1P2
GD1P3-1,int,CGD,GD1,GD1P3
GD1P3-2,int,CGD,GD1,GD1P3
GD1P3-3,int,CGD,GD1,GD1P3
GD1P3-4,int,CGD,GD1,GD1P3
GD1P3-5,int,CGD,GD1,GD1P3
GD1P3-6,int,CGD,GD1,GD1P3
GD1P3-7,int,CGD,GD1,GD1P3
GD1P3-8,int,CGD,GD1,GD1P3
GD1P3-9,int,CGD,GD1,GD1P3
GD1P3-10,int,CGD,GD1,GD1P3
GD2P1-1,int,CGD,GD2,GD2P1
GD2P1-2,int,CGD,GD2,GD2P1
GD2P1-3,int,CGD,GD2,GD2P1
GD2P1-4,int,CGD,GD2,GD2P1
GD2P1-5,int,CGD,GD2,GD2P1
GD2P1-6,int,CGD,GD2,GD2P1
GD2P1-7,int,CGD,GD2,GD2P1
GD2P1-8,int,CGD,GD2,GD2P1
GD2P1-9,int,CGD,GD2,GD2P1
GD2P1-10,int,CGD,GD2,GD2P1
GD2P2-1,int,CGD,GD2,GD2P2
GD2P2-2,int,CGD,GD2,GD2P2
GD2P2-3,int,CGD,GD2,GD2P2
GD2P2-4,int,CGD,GD2,GD2P2
GD2P2-5,int,CGD,GD2,GD2P2
GD2P2-6,int,CGD,GD2,GD2P2
GD2P2-7,int,CGD,GD2,GD2P2
GD2P2-8,int,CGD,GD2,GD2P2
GD2P2-9,int,CGD,GD2,GD2P2
GD2P2-10,int,CGD,GD2,GD2P2
GD2P3-1,int,CGD,GD2,GD2P3
GD2P3-2,int,CGD,GD2,GD2P3
GD2P3-3,int,CGD,GD2,GD2P3
GD2P3-4,int,CGD,GD2,GD2P3
GD2P3-5,int,CGD,GD2,GD2P3
GD2P3-6,int,CGD,GD2,GD2P3
GD2P3-7,int,CGD,GD2,GD2P3
GD2P3-8,int,CGD,GD2,GD2P3
GD2P3-9,int,CGD,GD2,GD2P3
GD2P3-10,int,CGD,GD2,GD2P3
GD3P1-1,int,CGD,GD3,GD3P1
GD3P1-2,int,CGD,GD3,GD3P1
GD3P1-3,int,CGD,GD3,GD3P1
GD3P1-4,int,CGD,GD3,GD3P1
GD3P1-5,int,CGD,GD3,GD3P1
GD3P1-6,int,CGD,GD3,GD3P1
GD3P1-7,int,CGD,GD3,GD3P1
GD3P1-8,int,CGD,GD3,GD3P1
GD3P1-9,int,CGD,GD3,GD3P1
GD3P1-10,int,CGD,GD3,GD3P1
GD3P2-1,int,CGD,GD3,GD3P2
GD3P2-2,int,CGD,GD3,GD3P2
GD3P2-3,int,CGD,GD3,GD3P2
GD3P2-4,int,CGD,GD3,GD3P2
GD3P2-5,int,CGD,GD3,GD3P2
GD3P2-6,int,CGD,GD3,GD3P2
GD3P2-7,int,CGD,GD3,GD3P2
GD3P2-8,int,CGD,GD3,GD3P2
GD3P2-9,int,CGD,GD3,GD3P2
GD3P2-10,int,CGD,GD3,GD3P2
GD3P3-1,int,CGD,GD3,GD3P3
GD3P3-2,int,CGD,GD3,GD3P3
GD3P3-3,int,CGD,GD3,GD3P3
GD3P3-4,int,CGD,GD3,GD3P3
GD3P3-5,int,CGD,GD3,GD3P3
GD3P3-6,int,CGD,GD3,GD3P3
GD3P3-7,int,CGD,GD3,GD3P3
GD3P3-8,int,CGD,GD3,GD3P3
GD3P3-9,int,CGD,GD3,GD3P3
